Country,Train,Test,Zero_Base,Zero_Chat,Best_ICM,Best_Gold,Best_Random,ICM_Gold_Agreement,ICM_Label_Balance
Kenya,65,29,0.4482758620689655,0.6206896551724138,0.6896551724137931,0.6896551724137931,0.6551724137931034,0.49230769230769234,0.47692307692307695
Ethiopia,48,21,0.5714285714285714,0.8095238095238095,0.42857142857142855,0.7619047619047619,0.6190476190476191,0.3125,0.6666666666666666
Zimbabwe,48,21,0.5238095238095238,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6190476190476191,0.4791666666666667,0.6458333333333334
Russia,45,20,0.5,0.65,0.6,0.75,0.7,0.5777777777777777,0.5111111111111111
Germany,45,20,0.65,0.75,0.75,0.75,0.8,0.7111111111111111,0.37777777777777777
Pakistan,45,20,0.05,0.4,0.5,0.7,0.7,0.4222222222222222,0.4888888888888889
Turkey,45,20,0.55,0.6,0.75,0.75,0.7,0.6444444444444445,0.5777777777777777
United States,44,20,0.55,0.7,0.55,0.75,0.75,0.5227272727272727,0.5454545454545454
Lebanon,44,19,0.2631578947368421,0.631578947368421,0.6842105263157895,0.7894736842105263,0.631578947368421,0.5909090909090909,0.6363636363636364
Nigeria,40,18,0.3333333333333333,0.6111111111111112,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.625,0.55
